horodatage,ville,code_departement,carburant
2026-04-29 19:31:56,PARIS,75,
2026-04-29 19:31:58,PARIS,75,
2026-04-29 19:32:01,PARIS,75,SP95
2026-04-29 19:32:04,PARIS,75,
2026-04-29 19:32:27,CARRIERES SOUS POISSY,78,
2026-04-29 19:37:00,CARRIERES SOUS POISSY,78,
2026-04-29 19:37:05,CARRIERES SOUS POISSY,78,SP95
2026-04-29 19:37:11,CARRIERES SOUS POISSY,78,SP95
2026-04-29 19:37:18,CARRIERES SOUS POISSY,78,
2026-04-29 19:41:32,CARRIERES SOUS POISSY,78,
2026-04-29 19:41:34,CARRIERES SOUS POISSY,78,
2026-04-29 19:43:08,CARRIERES SOUS POISSY,78,
2026-04-29 19:43:09,CARRIERES SOUS POISSY,78,
2026-04-29 19:50:51,CARRIERES SOUS POISSY,78,
2026-04-29 19:50:53,CARRIERES SOUS POISSY,78,
2026-04-29 19:51:15,PARIS,75,
2026-04-29 19:52:58,PARIS,75,
2026-04-29 19:53:00,PARIS,75,
2026-04-29 20:05:59,PARIS,75,
2026-04-29 20:23:27,PARIS,75,
2026-04-29 20:23:52,CARRIERES SOUS POISSY,78,
2026-04-29 20:24:00,CARRIERES SOUS POISSY,78,
2026-04-30 23:35:05,VIRY NOUREUIL,02,
2026-04-30 23:35:05,VIRY NOUREUIL,02,
2026-04-30 23:36:50,VIRY NOUREUIL,02,
2026-04-30 23:37:02,HAMEL,59,
2026-04-30 23:37:05,HAMEL,59,SP98
2026-04-30 23:37:08,ALLENNES LES MARAIS,59,SP98
2026-04-30 23:37:18,COMPIEGNE,60,
2026-05-01 00:01:41,VOLPAJOLA,2B,
2026-05-01 00:01:43,TOX,2B,
2026-05-01 00:01:46,ROGLIANO,2B,
2026-05-01 00:01:51,ROGLIANO,2B,
2026-05-01 00:01:56,AJACCIO,2A,
2026-05-01 00:03:40,AJACCIO,2A,
2026-05-01 00:21:02,VIGNEMONT,60,
2026-05-01 00:21:05,ST AUBIN SOUS ERQUERY,60,
2026-05-01 00:21:16,PARIS,75,SP95
2026-05-01 00:21:59,PARIS,75,SP95
2026-05-01 00:22:02,PARIS,75,SP95
2026-05-01 00:22:21,PARIS,75,SP95
2026-05-01 00:23:13,PARIS,75,SP95
2026-05-01 00:23:18,PARIS,75,SP95
2026-05-01 00:23:23,PARIS,75,SP95
2026-05-01 00:50:22,HAMEL,59,
2026-05-01 00:50:26,VILLENEUVE D ASCQ,59,
2026-05-01 15:10:35,VILLENEUVE D ASCQ,59,
2026-05-01 15:11:02,THENAY,36,
2026-05-01 15:11:05,VILLEBOURG,37,
2026-05-01 15:11:09,SAVIGNY SUR BRAYE,41,
2026-05-01 15:11:10,SAVIGNY SUR BRAYE,41,
2026-05-01 15:11:11,SAVIGNY SUR BRAYE,41,
2026-05-01 15:11:11,SAVIGNY SUR BRAYE,41,
2026-05-01 15:11:12,SAVIGNY SUR BRAYE,41,
2026-05-01 15:11:44,VRY,57,
2026-05-01 15:11:45,VRY,57,
2026-05-01 15:11:45,VRY,57,
2026-05-01 15:11:46,VRY,57,
2026-05-01 15:11:46,VRY,57,
2026-05-01 15:11:47,VRY,57,
2026-05-01 15:11:47,VRY,57,
2026-05-01 15:11:47,VRY,57,
2026-05-01 15:11:48,VRY,57,
2026-05-01 15:11:48,VRY,57,
2026-05-01 15:11:48,VRY,57,
2026-05-01 15:11:49,VRY,57,
2026-05-01 15:11:49,VRY,57,
2026-05-01 15:11:49,VRY,57,
2026-05-01 15:11:50,VRY,57,
2026-05-01 15:11:50,VRY,57,
2026-05-01 15:11:50,VRY,57,
2026-05-01 15:11:51,VRY,57,
2026-05-01 15:11:51,VRY,57,
2026-05-01 15:11:51,VRY,57,
2026-05-01 15:11:52,VRY,57,
2026-05-01 15:11:52,VRY,57,
2026-05-01 16:10:41,PARIS,75,
2026-05-01 16:10:45,PARIS,75,SP98
2026-05-01 16:10:48,PARIS,75,GPL
2026-05-01 16:10:53,PARIS,75,GPL
